Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
1,121,4.710695505142212,1.7560049295425415,nan,nan,0.0001,nan,1e-08
1,122,4.750758647918701,1.7140790224075317,nan,nan,0.0001,nan,1e-08
1,123,4.790733814239502,1.7613966464996338,nan,nan,0.0001,nan,1e-08
1,124,4.8268821239471436,1.7353602647781372,nan,nan,0.0001,nan,1e-08
1,125,4.853374719619751,1.7443468570709229,nan,nan,0.0001,nan,1e-08
1,126,4.890044927597046,1.8745862245559692,nan,nan,0.0001,nan,1e-08
1,127,4.92693829536438,1.750726580619812,nan,nan,0.0001,nan,1e-08
1,128,4.951135635375977,1.7776867151260376,nan,nan,0.0001,nan,1e-08
1,129,4.990225076675415,1.7029873132705688,nan,nan,0.0001,nan,1e-08
1,130,5.0143516063690186,1.793996810913086,nan,nan,0.0001,nan,1e-08
1,131,5.052423000335693,1.831786870956421,nan,nan,0.0001,nan,1e-08
1,132,5.109967947006226,1.7007360458374023,nan,nan,0.0001,nan,1e-08
1,133,5.152442932128906,1.8481963872909546,nan,nan,0.0001,nan,1e-08
1,134,5.189153671264648,1.6029484272003174,nan,nan,0.0001,nan,1e-08
1,135,5.2279276847839355,1.6799757480621338,nan,nan,0.0001,nan,1e-08
1,136,5.254676580429077,1.6695873737335205,nan,nan,0.0001,nan,1e-08
1,137,5.295294284820557,1.8210314512252808,nan,nan,0.0001,nan,1e-08
1,138,5.34820556640625,1.6504724025726318,nan,nan,0.0001,nan,1e-08
1,139,5.372553586959839,1.7476840019226074,nan,nan,0.0001,nan,1e-08
1,140,5.411275625228882,1.6602976322174072,nan,nan,0.0001,nan,1e-08
1,141,5.437488555908203,1.7599735260009766,nan,nan,0.0001,nan,1e-08
1,142,5.473589897155762,1.7223392724990845,nan,nan,0.0001,nan,1e-08
1,143,5.537704229354858,1.819629192352295,nan,nan,0.0001,nan,1e-08
1,144,5.600769281387329,1.7427582740783691,nan,nan,0.0001,nan,1e-08
1,145,5.641668796539307,1.6571018695831299,nan,nan,0.0001,nan,1e-08
1,146,5.688159227371216,1.6339504718780518,nan,nan,0.0001,nan,1e-08
1,147,5.7125244140625,1.7216975688934326,nan,nan,0.0001,nan,1e-08
1,148,5.73677396774292,1.808112621307373,nan,nan,0.0001,nan,1e-08
1,149,5.761013984680176,1.717548131942749,nan,nan,0.0001,nan,1e-08
1,150,5.810967206954956,1.6550847291946411,nan,nan,0.0001,nan,1e-08
1,151,5.864142894744873,1.7274706363677979,nan,nan,0.0001,nan,1e-08
1,152,5.888172626495361,1.636204719543457,nan,nan,0.0001,nan,1e-08
1,153,5.938843250274658,1.66108238697052,nan,nan,0.0001,nan,1e-08
1,154,5.975823879241943,1.7093355655670166,nan,nan,0.0001,nan,1e-08
1,155,6.011904954910278,1.7089052200317383,nan,nan,0.0001,nan,1e-08
1,156,6.064204692840576,1.6092995405197144,nan,nan,0.0001,nan,1e-08
1,157,6.10280442237854,1.6035300493240356,nan,nan,0.0001,nan,1e-08
