Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.005,0.005,0.001
1,1,0.4501762390136719,2.3335320949554443,nan,nan,0.005,nan,0.001
1,2,0.4766428470611572,2.320539712905884,nan,nan,0.005,nan,0.001
1,3,0.4994227886199951,2.2972023487091064,nan,nan,0.005,nan,0.001
1,4,0.5221662521362305,2.3153176307678223,nan,nan,0.005,nan,0.001
1,5,0.5450863838195801,2.304241895675659,nan,nan,0.005,nan,0.001
1,6,0.5678355693817139,2.3313498497009277,nan,nan,0.005,nan,0.001
1,7,0.5909695625305176,2.300145149230957,nan,nan,0.005,nan,0.001
1,8,0.6138429641723633,2.36126971244812,nan,nan,0.005,nan,0.001
1,9,0.6365687847137451,2.313732147216797,nan,nan,0.005,nan,0.001
1,10,0.6594858169555664,2.3188741207122803,nan,nan,0.005,nan,0.001
1,11,0.6822628974914551,2.3106095790863037,nan,nan,0.005,nan,0.001
1,12,0.7051126956939697,2.3023059368133545,nan,nan,0.005,nan,0.001
1,13,0.7279684543609619,2.2744157314300537,nan,nan,0.005,nan,0.001
1,14,0.750788688659668,2.307274580001831,nan,nan,0.005,nan,0.001
1,15,0.7736983299255371,2.307436227798462,nan,nan,0.005,nan,0.001
1,16,0.7966959476470947,2.302091598510742,nan,nan,0.005,nan,0.001
1,17,0.8195254802703857,2.294926881790161,nan,nan,0.005,nan,0.001
1,18,0.8423843383789062,2.3205251693725586,nan,nan,0.005,nan,0.001
1,19,0.866185188293457,2.290423631668091,nan,nan,0.005,nan,0.001
1,20,0.8892323970794678,2.2969419956207275,nan,nan,0.005,nan,0.001
1,21,0.9119863510131836,2.2709336280822754,nan,nan,0.005,nan,0.001
1,22,0.934816837310791,2.2614400386810303,nan,nan,0.005,nan,0.001
1,23,0.9577069282531738,2.3184897899627686,nan,nan,0.005,nan,0.001
1,24,0.9807069301605225,2.303176164627075,nan,nan,0.005,nan,0.001
1,25,1.0036168098449707,2.3074746131896973,nan,nan,0.005,nan,0.001
1,26,1.0263876914978027,2.294257164001465,nan,nan,0.005,nan,0.001
1,27,1.0491821765899658,2.2654495239257812,nan,nan,0.005,nan,0.001
1,28,1.072021245956421,2.2934937477111816,nan,nan,0.005,nan,0.001
1,29,1.0951428413391113,2.279010772705078,nan,nan,0.005,nan,0.001
1,30,1.1181559562683105,2.283856153488159,nan,nan,0.005,nan,0.001
1,31,1.14103364944458,2.284691572189331,nan,nan,0.005,nan,0.001
1,32,1.1639373302459717,2.2896220684051514,nan,nan,0.005,nan,0.001
1,33,1.1871240139007568,2.287249803543091,nan,nan,0.005,nan,0.001
1,34,1.2101218700408936,2.301185131072998,nan,nan,0.005,nan,0.001
1,35,1.233140230178833,2.271204710006714,nan,nan,0.005,nan,0.001
1,36,1.2560298442840576,2.2500100135803223,nan,nan,0.005,nan,0.001
1,37,1.279151201248169,2.2876152992248535,nan,nan,0.005,nan,0.001
1,38,1.302229642868042,2.276926279067993,nan,nan,0.005,nan,0.001
1,39,1.3251252174377441,2.2767465114593506,nan,nan,0.005,nan,0.001
1,40,1.3481652736663818,2.2554879188537598,nan,nan,0.005,nan,0.001
1,41,1.3709540367126465,2.2617673873901367,nan,nan,0.005,nan,0.001
1,42,1.393800973892212,2.2656943798065186,nan,nan,0.005,nan,0.001
1,43,1.4167165756225586,2.2697513103485107,nan,nan,0.005,nan,0.001
1,44,1.4397218227386475,2.2263071537017822,nan,nan,0.005,nan,0.001
1,45,1.4627342224121094,2.2722864151000977,nan,nan,0.005,nan,0.001
1,46,1.4869484901428223,2.232501745223999,nan,nan,0.005,nan,0.001
1,47,1.5099573135375977,2.2673544883728027,nan,nan,0.005,nan,0.001
1,48,1.533252477645874,2.2733240127563477,nan,nan,0.005,nan,0.001
1,49,1.5563721656799316,2.184222936630249,nan,nan,0.005,nan,0.001
1,50,1.5795085430145264,2.2379488945007324,nan,nan,0.005,nan,0.001
1,51,1.6026711463928223,2.2424263954162598,nan,nan,0.005,nan,0.001
1,52,1.6260178089141846,2.243838310241699,nan,nan,0.005,nan,0.001
1,53,1.648984670639038,2.2027552127838135,nan,nan,0.005,nan,0.001
1,54,1.6718919277191162,2.1986944675445557,nan,nan,0.005,nan,0.001
1,55,1.6950290203094482,2.2556416988372803,nan,nan,0.005,nan,0.001
1,56,1.7291948795318604,2.189563274383545,nan,nan,0.005,nan,0.001
1,57,1.7648625373840332,2.1999809741973877,nan,nan,0.005,nan,0.001
1,58,1.7898426055908203,2.2350029945373535,nan,nan,0.005,nan,0.001
1,59,1.8128442764282227,2.1961581707000732,nan,nan,0.005,nan,0.001
1,60,1.8371813297271729,2.199721097946167,nan,nan,0.005,nan,0.001
1,61,1.860149621963501,2.179462432861328,nan,nan,0.005,nan,0.001
1,62,1.896791934967041,2.1703860759735107,nan,nan,0.005,nan,0.001
1,63,1.9277472496032715,2.156108856201172,nan,nan,0.005,nan,0.001
1,64,1.9771761894226074,2.162677764892578,nan,nan,0.005,nan,0.001
1,65,2.0292677879333496,2.1713225841522217,nan,nan,0.005,nan,0.001
1,66,2.075810194015503,2.1115942001342773,nan,nan,0.005,nan,0.001
1,67,2.0987436771392822,2.112593173980713,nan,nan,0.005,nan,0.001
1,68,2.1370115280151367,2.1183252334594727,nan,nan,0.005,nan,0.001
1,69,2.1734344959259033,2.102781295776367,nan,nan,0.005,nan,0.001
1,70,2.198908805847168,2.138458728790283,nan,nan,0.005,nan,0.001
1,71,2.2342031002044678,2.1042087078094482,nan,nan,0.005,nan,0.001
1,72,2.271868944168091,2.0590953826904297,nan,nan,0.005,nan,0.001
1,73,2.2948687076568604,2.0388238430023193,nan,nan,0.005,nan,0.001
1,74,2.3328042030334473,2.0435969829559326,nan,nan,0.005,nan,0.001
1,75,2.356334924697876,2.0987918376922607,nan,nan,0.005,nan,0.001
1,76,2.407247304916382,2.0311779975891113,nan,nan,0.005,nan,0.001
1,77,2.439823865890503,2.0087640285491943,nan,nan,0.005,nan,0.001
1,78,2.4626810550689697,1.974674940109253,nan,nan,0.005,nan,0.001
1,79,2.4856667518615723,2.0373518466949463,nan,nan,0.005,nan,0.001
1,80,2.5372514724731445,2.0111587047576904,nan,nan,0.005,nan,0.001
1,81,2.5602171421051025,1.9471434354782104,nan,nan,0.005,nan,0.001
1,82,2.5831985473632812,2.0034594535827637,nan,nan,0.005,nan,0.001
1,83,2.6084816455841064,1.9138940572738647,nan,nan,0.005,nan,0.001
1,84,2.6612963676452637,1.9415671825408936,nan,nan,0.005,nan,0.001
1,85,2.685539960861206,1.97500479221344,nan,nan,0.005,nan,0.001
1,86,2.7239561080932617,1.972131371498108,nan,nan,0.005,nan,0.001
