Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.0001,0.0001,0.001
1,1,0.48789477348327637,2.3335320949554443,nan,nan,0.0001,nan,0.001
1,2,0.511523962020874,2.3153247833251953,nan,nan,0.0001,nan,0.001
1,3,0.5342519283294678,2.310081720352173,nan,nan,0.0001,nan,0.001
1,4,0.5571236610412598,2.3311219215393066,nan,nan,0.0001,nan,0.001
1,5,0.5798258781433105,2.3024165630340576,nan,nan,0.0001,nan,0.001
1,6,0.6025221347808838,2.3552968502044678,nan,nan,0.0001,nan,0.001
1,7,0.6254889965057373,2.3155155181884766,nan,nan,0.0001,nan,0.001
1,8,0.6482851505279541,2.3961851596832275,nan,nan,0.0001,nan,0.001
1,9,0.6710741519927979,2.3229973316192627,nan,nan,0.0001,nan,0.001
1,10,0.6939477920532227,2.3240416049957275,nan,nan,0.0001,nan,0.001
1,11,0.7167747020721436,2.3689656257629395,nan,nan,0.0001,nan,0.001
1,12,0.7395937442779541,2.342951774597168,nan,nan,0.0001,nan,0.001
1,13,0.7623708248138428,2.3205838203430176,nan,nan,0.0001,nan,0.001
1,14,0.7850844860076904,2.35766339302063,nan,nan,0.0001,nan,0.001
1,15,0.8078556060791016,2.3332812786102295,nan,nan,0.0001,nan,0.001
1,16,0.8305788040161133,2.317593574523926,nan,nan,0.0001,nan,0.001
1,17,0.8532660007476807,2.3145179748535156,nan,nan,0.0001,nan,0.001
1,18,0.8759846687316895,2.3471009731292725,nan,nan,0.0001,nan,0.001
1,19,0.8988239765167236,2.339960813522339,nan,nan,0.0001,nan,0.001
1,20,0.9216151237487793,2.3459949493408203,nan,nan,0.0001,nan,0.001
1,21,0.9443666934967041,2.3560991287231445,nan,nan,0.0001,nan,0.001
1,22,0.9672214984893799,2.2937989234924316,nan,nan,0.0001,nan,0.001
1,23,0.9900681972503662,2.328944444656372,nan,nan,0.0001,nan,0.001
1,24,1.0128226280212402,2.2975573539733887,nan,nan,0.0001,nan,0.001
1,25,1.035588026046753,2.307612657546997,nan,nan,0.0001,nan,0.001
1,26,1.058457612991333,2.354457139968872,nan,nan,0.0001,nan,0.001
1,27,1.0811524391174316,2.318063974380493,nan,nan,0.0001,nan,0.001
1,28,1.1039648056030273,2.318387746810913,nan,nan,0.0001,nan,0.001
1,29,1.126697301864624,2.3395779132843018,nan,nan,0.0001,nan,0.001
1,30,1.1495466232299805,2.3141896724700928,nan,nan,0.0001,nan,0.001
1,31,1.1722321510314941,2.3796820640563965,nan,nan,0.0001,nan,0.001
