Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
1,25,0.9609155654907227,2.2991533279418945,nan,nan,0.01,nan,0.001
1,26,0.982586145401001,2.310666561126709,nan,nan,0.01,nan,0.001
1,27,1.0042762756347656,2.2801804542541504,nan,nan,0.01,nan,0.001
1,28,1.0259082317352295,2.3069686889648438,nan,nan,0.01,nan,0.001
1,29,1.047513484954834,2.298470973968506,nan,nan,0.01,nan,0.001
1,30,1.0697088241577148,2.3058853149414062,nan,nan,0.01,nan,0.001
1,31,1.091449499130249,2.3183999061584473,nan,nan,0.01,nan,0.001
1,32,1.1131525039672852,2.321594476699829,nan,nan,0.01,nan,0.001
1,33,1.1349360942840576,2.3061234951019287,nan,nan,0.01,nan,0.001
1,34,1.156740427017212,2.3018579483032227,nan,nan,0.01,nan,0.001
1,35,1.1785428524017334,2.305286407470703,nan,nan,0.01,nan,0.001
1,36,1.2002708911895752,2.2831356525421143,nan,nan,0.01,nan,0.001
1,37,1.221956729888916,2.3169174194335938,nan,nan,0.01,nan,0.001
1,38,1.2438340187072754,2.2943265438079834,nan,nan,0.01,nan,0.001
1,39,1.2656230926513672,2.3070027828216553,nan,nan,0.01,nan,0.001
1,40,1.2874150276184082,2.299638032913208,nan,nan,0.01,nan,0.001
1,41,1.3090970516204834,2.3090908527374268,nan,nan,0.01,nan,0.001
1,42,1.330965518951416,2.3126916885375977,nan,nan,0.01,nan,0.001
1,43,1.352743148803711,2.29667329788208,nan,nan,0.01,nan,0.001
1,44,1.3745601177215576,2.2836954593658447,nan,nan,0.01,nan,0.001
1,45,1.3965909481048584,2.298213005065918,nan,nan,0.01,nan,0.001
1,46,1.4184129238128662,2.276836633682251,nan,nan,0.01,nan,0.001
1,47,1.4401006698608398,2.329371213912964,nan,nan,0.01,nan,0.001
1,48,1.4619133472442627,2.3191099166870117,nan,nan,0.01,nan,0.001
1,49,1.4836068153381348,2.299013137817383,nan,nan,0.01,nan,0.001
1,50,1.5053224563598633,2.310868501663208,nan,nan,0.01,nan,0.001
1,51,1.5270564556121826,2.306851863861084,nan,nan,0.01,nan,0.001
1,52,1.5488090515136719,2.2898247241973877,nan,nan,0.01,nan,0.001
1,53,1.5707120895385742,2.28733491897583,nan,nan,0.01,nan,0.001
1,54,1.5924956798553467,2.281230926513672,nan,nan,0.01,nan,0.001
1,55,1.6143074035644531,2.301213502883911,nan,nan,0.01,nan,0.001
1,56,1.6361956596374512,2.2948410511016846,nan,nan,0.01,nan,0.001
1,57,1.658106803894043,2.305140972137451,nan,nan,0.01,nan,0.001
1,58,1.6799578666687012,2.3007140159606934,nan,nan,0.01,nan,0.001
1,59,1.701744556427002,2.3050100803375244,nan,nan,0.01,nan,0.001
1,60,1.7235331535339355,2.3161656856536865,nan,nan,0.01,nan,0.001
1,61,1.745298147201538,2.3011817932128906,nan,nan,0.01,nan,0.001
1,62,1.7670066356658936,2.289236307144165,nan,nan,0.01,nan,0.001
1,63,1.7889089584350586,2.2770745754241943,nan,nan,0.01,nan,0.001
1,64,1.8255820274353027,2.291476249694824,nan,nan,0.01,nan,0.001
1,65,1.8542871475219727,2.2806546688079834,nan,nan,0.01,nan,0.001
1,66,1.8760590553283691,2.297360420227051,nan,nan,0.01,nan,0.001
1,67,1.9006366729736328,2.2845613956451416,nan,nan,0.01,nan,0.001
1,68,1.9227747917175293,2.2877161502838135,nan,nan,0.01,nan,0.001
1,69,1.9447031021118164,2.28908634185791,nan,nan,0.01,nan,0.001
1,70,1.9665567874908447,2.290151596069336,nan,nan,0.01,nan,0.001
1,71,1.9883668422698975,2.2991113662719727,nan,nan,0.01,nan,0.001
1,72,2.0101826190948486,2.275094985961914,nan,nan,0.01,nan,0.001
1,73,2.032430648803711,2.2910683155059814,nan,nan,0.01,nan,0.001
1,74,2.054269313812256,2.3063175678253174,nan,nan,0.01,nan,0.001
1,75,2.076030969619751,2.2805731296539307,nan,nan,0.01,nan,0.001
1,76,2.097946882247925,2.2691164016723633,nan,nan,0.01,nan,0.001
1,77,2.119828701019287,2.281803846359253,nan,nan,0.01,nan,0.001
1,78,2.141766309738159,2.2552859783172607,nan,nan,0.01,nan,0.001
1,79,2.163602828979492,2.2956976890563965,nan,nan,0.01,nan,0.001
1,80,2.1856143474578857,2.2703933715820312,nan,nan,0.01,nan,0.001
1,81,2.2074296474456787,2.2920751571655273,nan,nan,0.01,nan,0.001
1,82,2.229236364364624,2.2869603633880615,nan,nan,0.01,nan,0.001
1,83,2.251095771789551,2.275296926498413,nan,nan,0.01,nan,0.001
1,84,2.272867202758789,2.268820285797119,nan,nan,0.01,nan,0.001
1,85,2.2947945594787598,2.2836852073669434,nan,nan,0.01,nan,0.001
1,86,2.316676616668701,2.2657535076141357,nan,nan,0.01,nan,0.001
1,87,2.338514566421509,2.2566051483154297,nan,nan,0.01,nan,0.001
1,88,2.3603837490081787,2.259176731109619,nan,nan,0.01,nan,0.001
1,89,2.3822402954101562,2.2913355827331543,nan,nan,0.01,nan,0.001
1,90,2.404048204421997,2.278508424758911,nan,nan,0.01,nan,0.001
1,91,2.4258909225463867,2.2574076652526855,nan,nan,0.01,nan,0.001
1,92,2.4477901458740234,2.3059685230255127,nan,nan,0.01,nan,0.001
1,93,2.469505786895752,2.3068292140960693,nan,nan,0.01,nan,0.001
1,94,2.505591869354248,2.2948241233825684,nan,nan,0.01,nan,0.001
1,95,2.5277111530303955,2.2697761058807373,nan,nan,0.01,nan,0.001
1,96,2.549926280975342,2.2528889179229736,nan,nan,0.01,nan,0.001
1,97,2.584761381149292,2.255800247192383,nan,nan,0.01,nan,0.001
1,98,2.620957851409912,2.287325382232666,nan,nan,0.01,nan,0.001
1,99,2.6704227924346924,2.2711360454559326,nan,nan,0.01,nan,0.001
1,100,2.705082893371582,2.288489818572998,nan,nan,0.01,nan,0.001
1,101,2.756810188293457,2.253013849258423,nan,nan,0.01,nan,0.001
1,102,2.778754472732544,2.289926767349243,nan,nan,0.01,nan,0.001
1,103,2.814021110534668,2.257361888885498,nan,nan,0.01,nan,0.001
1,104,2.836291790008545,2.2650394439697266,nan,nan,0.01,nan,0.001
1,105,2.8730876445770264,2.2509641647338867,nan,nan,0.01,nan,0.001
1,106,2.9088501930236816,2.2714741230010986,nan,nan,0.01,nan,0.001
1,107,2.944870948791504,2.28851056098938,nan,nan,0.01,nan,0.001
1,108,2.9673988819122314,2.2847177982330322,nan,nan,0.01,nan,0.001
1,109,3.005269765853882,2.252304792404175,nan,nan,0.01,nan,0.001
1,110,3.0388667583465576,2.2788913249969482,nan,nan,0.01,nan,0.001
1,111,3.0901169776916504,2.2843313217163086,nan,nan,0.01,nan,0.001
1,112,3.1123464107513428,2.240257501602173,nan,nan,0.01,nan,0.001
1,113,3.1493396759033203,2.2425713539123535,nan,nan,0.01,nan,0.001
