Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.005,0.005,1e-08
1,1,0.3453655242919922,2.3335320949554443,nan,nan,0.005,nan,1e-08
1,2,0.36963367462158203,3.0196971893310547,nan,nan,0.005,nan,1e-08
1,3,0.39360785484313965,2.7556238174438477,nan,nan,0.005,nan,1e-08
1,4,0.4176337718963623,2.666999578475952,nan,nan,0.005,nan,1e-08
1,5,0.4417531490325928,2.642760753631592,nan,nan,0.005,nan,1e-08
1,6,0.466094970703125,2.353576898574829,nan,nan,0.005,nan,1e-08
1,7,0.4898819923400879,2.3047382831573486,nan,nan,0.005,nan,1e-08
1,8,0.5144617557525635,2.2895467281341553,nan,nan,0.005,nan,1e-08
1,9,0.5383422374725342,2.3651340007781982,nan,nan,0.005,nan,1e-08
1,10,0.5620908737182617,2.443333148956299,nan,nan,0.005,nan,1e-08
1,11,0.5858259201049805,2.3904619216918945,nan,nan,0.005,nan,1e-08
1,12,0.6096069812774658,2.268550157546997,nan,nan,0.005,nan,1e-08
1,13,0.6333613395690918,2.2643167972564697,nan,nan,0.005,nan,1e-08
1,14,0.6573383808135986,2.28939151763916,nan,nan,0.005,nan,1e-08
1,15,0.6810524463653564,2.3173840045928955,nan,nan,0.005,nan,1e-08
1,16,0.7049319744110107,2.353987693786621,nan,nan,0.005,nan,1e-08
1,17,0.7287302017211914,2.291720151901245,nan,nan,0.005,nan,1e-08
1,18,0.7523934841156006,2.3149805068969727,nan,nan,0.005,nan,1e-08
1,19,0.7761509418487549,2.3223884105682373,nan,nan,0.005,nan,1e-08
1,20,0.7998332977294922,2.285566568374634,nan,nan,0.005,nan,1e-08
1,21,0.8235042095184326,2.313526153564453,nan,nan,0.005,nan,1e-08
1,22,0.8471841812133789,2.2762062549591064,nan,nan,0.005,nan,1e-08
1,23,0.8709173202514648,2.3239550590515137,nan,nan,0.005,nan,1e-08
