Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.01,0.01,1e-08
1,1,0.44365715980529785,2.3335320949554443,nan,nan,0.01,nan,1e-08
1,2,0.4676525592803955,6.349757194519043,nan,nan,0.01,nan,1e-08
1,3,0.4916412830352783,4.254730224609375,nan,nan,0.01,nan,1e-08
1,4,0.5154845714569092,4.2116780281066895,nan,nan,0.01,nan,1e-08
1,5,0.539534330368042,5.759842395782471,nan,nan,0.01,nan,1e-08
1,6,0.5633769035339355,3.415969133377075,nan,nan,0.01,nan,1e-08
1,7,0.5871288776397705,2.733825206756592,nan,nan,0.01,nan,1e-08
1,8,0.610957145690918,2.3693900108337402,nan,nan,0.01,nan,1e-08
1,9,0.6347653865814209,2.3331103324890137,nan,nan,0.01,nan,1e-08
1,10,0.6585967540740967,2.366353750228882,nan,nan,0.01,nan,1e-08
1,11,0.6823854446411133,2.322052240371704,nan,nan,0.01,nan,1e-08
1,12,0.7060253620147705,2.32234787940979,nan,nan,0.01,nan,1e-08
1,13,0.7297368049621582,2.2996695041656494,nan,nan,0.01,nan,1e-08
1,14,0.7541303634643555,2.2747206687927246,nan,nan,0.01,nan,1e-08
1,15,0.7780067920684814,2.3206281661987305,nan,nan,0.01,nan,1e-08
1,16,0.8017523288726807,2.3793857097625732,nan,nan,0.01,nan,1e-08
1,17,0.8256075382232666,2.2973482608795166,nan,nan,0.01,nan,1e-08
1,18,0.8496103286743164,2.321988821029663,nan,nan,0.01,nan,1e-08
1,19,0.873436689376831,2.29398512840271,nan,nan,0.01,nan,1e-08
1,20,0.897381067276001,2.287548303604126,nan,nan,0.01,nan,1e-08
1,21,0.9213237762451172,2.30584979057312,nan,nan,0.01,nan,1e-08
1,22,0.9452550411224365,2.2774150371551514,nan,nan,0.01,nan,1e-08
1,23,0.969163179397583,2.322798728942871,nan,nan,0.01,nan,1e-08
1,24,0.9933774471282959,2.315160036087036,nan,nan,0.01,nan,1e-08
1,25,1.0172674655914307,2.280810594558716,nan,nan,0.01,nan,1e-08
1,26,1.041217565536499,2.293227434158325,nan,nan,0.01,nan,1e-08
1,27,1.0651237964630127,2.2994484901428223,nan,nan,0.01,nan,1e-08
1,28,1.088928461074829,2.282076835632324,nan,nan,0.01,nan,1e-08
1,29,1.1128590106964111,2.3385908603668213,nan,nan,0.01,nan,1e-08
1,30,1.13679838180542,2.28670597076416,nan,nan,0.01,nan,1e-08
1,31,1.1605684757232666,2.3082096576690674,nan,nan,0.01,nan,1e-08
1,32,1.1843822002410889,2.315418004989624,nan,nan,0.01,nan,1e-08
1,33,1.2082633972167969,2.2849481105804443,nan,nan,0.01,nan,1e-08
1,34,1.2322752475738525,2.3657166957855225,nan,nan,0.01,nan,1e-08
1,35,1.2560985088348389,2.324333667755127,nan,nan,0.01,nan,1e-08
1,36,1.2799909114837646,2.31217885017395,nan,nan,0.01,nan,1e-08
1,37,1.3039374351501465,2.2899532318115234,nan,nan,0.01,nan,1e-08
1,38,1.327927589416504,2.293299913406372,nan,nan,0.01,nan,1e-08
1,39,1.351712942123413,2.308716058731079,nan,nan,0.01,nan,1e-08
1,40,1.375612497329712,2.3114538192749023,nan,nan,0.01,nan,1e-08
1,41,1.3994619846343994,2.287020206451416,nan,nan,0.01,nan,1e-08
1,42,1.4232988357543945,2.311520576477051,nan,nan,0.01,nan,1e-08
1,43,1.447070837020874,2.3258488178253174,nan,nan,0.01,nan,1e-08
1,44,1.4709203243255615,2.3246347904205322,nan,nan,0.01,nan,1e-08
1,45,1.4948279857635498,2.329334259033203,nan,nan,0.01,nan,1e-08
1,46,1.5186960697174072,2.3043885231018066,nan,nan,0.01,nan,1e-08
1,47,1.5426416397094727,2.308626413345337,nan,nan,0.01,nan,1e-08
1,48,1.5665738582611084,2.297912836074829,nan,nan,0.01,nan,1e-08
1,49,1.5905048847198486,2.3048717975616455,nan,nan,0.01,nan,1e-08
1,50,1.6144380569458008,2.3358888626098633,nan,nan,0.01,nan,1e-08
1,51,1.6382551193237305,2.303605794906616,nan,nan,0.01,nan,1e-08
1,52,1.6621925830841064,2.3018901348114014,nan,nan,0.01,nan,1e-08
1,53,1.6860647201538086,2.3045358657836914,nan,nan,0.01,nan,1e-08
1,54,1.709920883178711,2.303522825241089,nan,nan,0.01,nan,1e-08
1,55,1.7338197231292725,2.302964210510254,nan,nan,0.01,nan,1e-08
1,56,1.7576746940612793,2.2998883724212646,nan,nan,0.01,nan,1e-08
1,57,1.7815752029418945,2.3022429943084717,nan,nan,0.01,nan,1e-08
